idx,emoji_input,reference,pred_greedy,pred_beam
222,🎵 🎷 🥁 🎤 📻,We listened to the saxophone drum and singer on the radio,The sailor sat in the sun,The man sat on the couch
223,🐦 🍺 🦖 📶 🐗,A bird perched on the signal while the boar and dino had beer,The sailor sat in the sun,The man sat on the couch
224,🏦 🧗 🦊 👏 😠,He climbed the bank wall while the angry fox applauded,The sailor sat in the sun,The man sat on the couch
225,🐮 🐷 🐴 🐏 🏡,The farm had a cow pig horse and ram near the house,The sailor sat in the sun,The man sat on the couch
226,🚚 👹 🛑 🥻 🧅,We stopped the truck to see the monster wearing a dress,The sailor sat in the sun,The man sat on the couch
227,💵 ❕ 📠 🔙 🎅,Santa Claus faxed a dollar bill and an alert to return,The sailor sat in the sun,The man sat on the couch
228,📼 🎲 🤽 💴 🌨️,He watched a video of the snowy water sport and rolled the die,The sailor sat in the sun,The man sat on the couch
229,☀️ ☁️ 🌧️ 🌊 🧊,The weather changed from sun and cloud to rain and ice,The sailor sat in the sun,The man sat on the couch
230,🔔 🧆 🏩 ❔ 🗣️,He asked a question about the food and bell at the love hotel,The sailor sat in the sun,The man sat on the couch
231,🏠 🔧 🧰 🔩 🚪,The repairman used a wrench and bolts from his toolbox,The sailor sat in the sun,The man sat on the couch
232,➡️ 🔙 🔚 🔜 🔝,Follow the arrows forward back end soon and top,The sailor sat in the sun,The man sat on the couch
233,👪 👨 👩 👶 🏠,The family includes a father mother and baby in the house,The sailor sat in the sun,The man sat on the couch
234,🏢 💼 📠 🗂️ 📊,She organized the files charts and fax machine in the office,The sailor sat in the sun,The man sat on the couch
235,✅ ❎ 🔞 📶 🚹,He checked the signal and the restricted area symbols,The sailor sat in the sun,The man sat on the couch
236,⛵ 🥶 👨 👧 📐,A cold man and girl used a ruler on the sailboat,The sailor sat in the sun,The man sat on the couch
237,🧅 💲 💷 🚣 ☁️,The cloud floated over the boat filled with onions and money,The sailor sat in the sun,The man sat on the couch
238,🥡 🦅 🦗 ✖️ 🌹,The eagle and cricket sat on the takeout box with a cross and rose,The sailor sat in the sun,The man sat on the couch
239,📕 🦷 🌍 1️⃣ 🗝️,The first key opened the book about the world and teeth,The sailor sat in the sun,He sat on the couch
240,❤️ 💋 🏩 🌹 🎁,He gave her love a rose and a present for the wedding,The sailor sat in the sun,The man sat on the couch
241,🦅 🦉 🕊️ 🦜 🦢,He studied the eagle owl dove parrot and swan in nature,The sailor sat in the sun,The man sat on the couch
242,🦙 🐐 🦋 🗃️ 🌹,A butterfly and rose were kept in the box near the llama and goat,The sailor sat in the sun,The man sat on the couch
243,😴 💤 🛌 🌙 🌃,She fell asleep in bed dreaming of the moon and stars,The sailor sat in the sun,The man sat on the couch
244,💵 🏋️ ✋ 😕 🔔,The confused lifter held up a hand when the bell rang for money,The sailor sat in the sun,The man sat on the couch
245,🦁 🦓 🦒 🦘 🐻,The zoo animals included a lion zebra giraffe kangaroo and bear,The sailor sat in the sun,The man sat on the couch
246,0️⃣ 1️⃣ 🔟 💯 ✖️,The student scored zero one ten and one hundred on the math test,The snazzy sat on the couch,He ate a cup of tea
247,🧼 📜 🧞 💶 📒,She wrote in the ledger about the magic genie soap and cash,The sailor sat in the sun,The man sat on the couch
248,😴 💤 🛌 🌙 🌃,He went to sleep in his bed under the moon and city night,The sailor sat in the sun,The man sat on the couch
249,🤺 🛌 🥯 🚆 🥎,She played softball then slept in the train bed with bread,The sailor sat in the sun,The man sat on the couch
250,🧁 🥛 🥨 🥜 😋,He enjoyed a treat of cupcakes milk pretzels and salty peanuts,The sailor sat in the sun,The man sat on the couch
251,🥪 🧀 🍞 🧺 ☀️,The picnic basket held sandwiches cheese and bread under the sun,The sailor sat in the sun,The man sat on the couch
252,🚣 🧐 🦬 🐮 🧝,The elf and rich man rowed past the cow and buffalo,The sailor sat in the sun,The man sat on the couch
253,❕ 🍗 🧙 6️⃣ 🧳,Alert! The mage put six turkey legs in the suitcase,The sailor sat in the sun,He sat in the sun and ate a meal
254,🥁 🚪 🐮 🧻 🦻,We heard the drum and cow behind the door with our ear,The sailor sat in the sun,The man sat on the couch
255,🤬 ❗ 7️⃣ 🛢️ ☪️,The angry face shouted near the fuel drum and religious symbol,The sailor sat on the beach,The saxophone screamed at the bell
256,🔟 🤢 🥭 🗻 6️⃣,The sick person ate mango near the mountain at ten and six,The sailor sat in the sun,He sat in the sun and ate a meal
257,🏢 💼 📠 🗂️ 📊,The office worker used a briefcase fax machine and files for the chart,The sailor sat in the sun,The man sat on the couch
258,🚒 🥡 🤥 💯 ✴️,The liar said there were one hundred takeout boxes on the truck,The sailor sat in the sun,The man sat on the couch
259,🚗 🚚 🛑 🗺️ 🏙️,We drove the car and truck through the city following the map,The sailor sat in the sun,The man sat on the couch
260,🦎 🌹 🍺 🦢 🦙,A swan and lizard sat by the rose and beer with the llama,The sailor sat in the sun,The man sat on the couch
261,🦈 🐟 🌊 ⛵ ☁️,The shark and fish swam in the ocean near the boat and clouds,The sailor sat in the sun,The man sat on the couch
262,🍲 🥖 🥪 🥑 🍴,She ate the avocado soup and baguette sandwich with a fork,The sailor sat in the sun,The man sat on the couch
263,🆓 💸 🏩 ✡️ ⛏️,The miner found free money and a star at the hotel,The sailor sat in the sun,The man sat on the couch
264,🔞 🥩 🤤 👃 👰,The hungry bride smelled the meat in the adults only zone,The sailor sat in the sun,The man sat on the couch
265,💍 👜 🧣 🧤 👒,The accessories included a ring handbag scarf and sun hat,The sailor sat in the sun,The man sat on the couch
266,🏙️ 🚗 🤗 🥖 ⚧️,The car drove through the city with bread and a hug,The sailor sat in the sun,The man sat on the couch
267,📼 🥡 🥟 👉 🥎,She ate a dumpling watched a tape and pointed to the ball,The sailor sat in the sun,The man sat on the couch
268,🔬 🦬 🐃 🌘 🔷,We used a microscope to see the diamond on the buffalo at night,The sailor sat in the sun,The man sat on the couch
269,🥗 💱 🚉 🍗 🧷,The salad and chicken were exchanged at the station safely,The sailor sat in the sun,The man sat on the couch
270,🦙 🥊 🦗 🐦 🦋,The llama wore a boxing glove to fight the cricket bird and butterfly,The sailor sat in the sun,The man sat on the couch
271,🧙 🧛 🧜 🧞 🦄,Stories tell of a mage vampire mermaid and a magical unicorn,The sailor sat in the sun,The man sat on the couch
272,💿 🎲 🥍 6️⃣ ✡️,The game included a disc a die showing six a star and lacrosse,The sailor sat in the sun,He sat in the sun and ate a meal
273,✴️ 🥗 🔓 🚚 📃,The truck document listed a salad unlock code and star,The sailor sat in the sun,The man sat on the couch
274,🧅 🧞 🧻 👚 👈,The genie pointed at the onion toilet paper and clothes,The sailor sat in the sun,The man sat on the couch
275,👻 🧟 🧛 👹 😱,He screamed when he saw the ghost zombie and monster,The sailor sat in the sun,The man sat on the couch
276,🌮 🥙 🥑 🌽 🥤,She enjoyed a mexican feast of tacos salad avocado and sweet corn,The sailor sat in the sun,The man sat on the couch
277,🦽 🤠 😭 😏 😘,The cowboy in the wheelchair cried and then kissed his friend,The sailor sat in the sun,The man sat on the couch
278,🐀 🦎 🐛 🐣 🥡,A chick and lizard ate from the takeout box with the rat and bug,The sailor sat in the sun,The man sat on the couch
279,🐂 🌹 🦖 🦩 🐗,The ox and boar ate a rose while the dinosaur and flamingo watched,The sailor sat in the sun,The man sat on the couch
280,💍 📠 😊 🏙️ 🔉,The office in the city sent a fax about the ring with a smile,The sailor sat in the sun,The man sat on the couch
281,🔬 🦬 🐃 🌘 🔷,The scientist studied the bison and buffalo under the moon and diamond,The sailor sat in the sun,The man sat on the couch
282,🦇 🐃 🥊 🐟 🐛,A bat flying over the buffalo spotted a fish bug and a glove,The sailor sat in the sun,The man sat on the couch
283,🍷 🥂 🍾 🍺 🥃,They drank wine champagne beer and whiskey at the party,The sailor sat in the sun,The man sat on the couch
284,🍲 🥩 🥔 🥄 🧊,She ate the hot meat and potato stew with a spoon and ice water,The sailor sat in the sun,The man sat on the couch
285,🦮 🐂 🐐 🎋 🐦,A bird sat in the bamboo while the dog ox and goat walked by,The sailor sat in the sun,The man sat on the couch
286,🦙 🥊 🦗 🐦 🦋,A bird butterfly and cricket saw the llama with a red glove,The sailor sat in the sun,The man sat on the couch
287,👗 👚 👠 👢 👞,Her closet contains a dress shirt high heels and boots,The sailor sat in the sun,The man sat on the couch
288,🍗 🍖 🥩 🥘 🍷,The chef prepared chicken meat and steak with a wine sauce,The sailor sat in the sun,The man sat on the couch
289,🥪 🧀 🍞 🧺 ☀️,We packed sandwiches cheese and bread in the basket for a sunny day,The sailor sat in the sun,The man sat on the couch
290,🦓 🚆 🌞 🤤 🧎,The zebra watched the train under the sun while the person kneeled,The sailor sat in the sun,The man sat on the couch
291,🥊 🥋 🏊 🏄 🏋️,The athlete practiced boxing swimming surfing and weightlifting,The sailor sat in the sun,The man sat on the couch
292,🔚 🔤 ➗ 🚉 🦹,At the station the supervillain divided the letters at the end,The sailor sat in the sun,The man sat on the couch
293,🏠 🔧 🧰 🔩 🚪,He fixed the house door using a wrench toolbox and bolt,The sailor sat in the sun,The man sat on the couch
294,🕰️ 0️⃣ 1️⃣ 2️⃣ 3️⃣,Time passed from twelve to one two and three o'clock,The snazzy sat in the sun,He ate a cup of tea and sat at the table
295,🦈 🦖 🦘 🐀 🦇,The shark and dinosaur frightened the kangaroo rat and bat,The sailor sat in the sun,The man sat on the couch
296,🥢 🏢 🏣 🧇 🧉,He used chopsticks to eat waffles and tea at the post office,The sailor sat in the sun,The man sat on the couch
297,💵 🎤 🔬 🙁 🏫,The school bought a microphone and microscope with the dollar bills,The sailor sat in the sun,The man sat on the couch
298,🍷 🥂 🍾 🍺 🥃,The bar served wine champagne beer and whiskey all night,The sailor sat in the sun,The man sat on the couch
299,❤️ 💍 👰 🤵 🛐,They got married with rings and love in the chapel,The sailor sat in the sun,The man sat on the couch
